system:index,DOY,ID,MCD12Q1v6,NIR,SWIR1,SWIR2,SWIR3,blue,green,red,.geo
2002_01_01_10_0,1,0.0,1,4777,4437,3776,2702,4233,4325,4323,
2002_01_01_11_0,1,1.0,1,4761,4114,3435,2138,3529,3565,4098,
2002_01_01_12_0,1,2.0,1,3016,2966,1841,864,2542,2599,2380,
2002_01_01_13_0,1,3.0,1,7293,5875,4656,2774,6014,6156,7104,
2002_01_01_14_0,1,4.0,1,3685,4040,3157,2452,1720,1934,2704,
2002_01_01_15_0,1,5.0,1,2472,2545,1586,732,925,906,288,
2002_01_01_16_0,1,6.0,1,5656,5459,4665,3388,5094,5186,5342,
2002_01_01_17_0,1,7.0,1,5603,5831,5053,3561,5500,5615,5237,
2002_01_01_18_0,1,8.0,1,7034,6153,5319,3677,5151,5540,6652,
2002_01_01_19_0,1,9.0,1,5494,5311,3995,2311,5501,5524,5418,
2002_01_01_20_0,1,10.0,2,3900,3812,2385,1294,1433,1620,1099,
2002_01_01_21_0,1,11.0,2,2267,2081,982,290,30,173,101,
2002_01_01_22_0,1,12.0,2,3521,2536,1462,881,598,838,1746,
2002_01_01_23_0,1,13.0,2,5065,5155,4643,3807,3845,4011,4153,
2002_01_01_24_0,1,14.0,2,3265,2967,1575,732,1739,1767,1554,
2002_01_01_25_0,1,15.0,2,2640,2650,1234,320,126,306,174,
2002_01_01_26_0,1,16.0,2,3633,3829,2484,1426,1237,1401,1242,
2002_01_01_27_0,1,17.0,2,4726,4753,4012,3012,3532,3691,3599,
2002_01_01_28_0,1,18.0,2,3553,3504,2014,1068,2524,2534,2113,
2002_01_01_29_0,1,19.0,2,2807,2921,1473,474,169,398,230,
2002_01_01_30_0,1,20.0,3,5755,5183,3987,2563,3161,3399,5315,
2002_01_01_31_0,1,21.0,3,2072,1463,902,470,859,832,1365,
2002_01_01_32_0,1,22.0,3,4361,2584,1863,1183,2119,2129,3864,
2002_01_01_33_0,1,23.0,3,3448,3176,1961,1124,910,1053,1249,
2002_01_01_34_0,1,24.0,3,5438,5659,4973,3432,4915,5236,4861,
2002_01_01_35_0,1,25.0,3,1753,1731,987,566,512,554,323,
2002_01_01_36_0,1,26.0,3,1375,2071,1408,686,1753,1654,972,
2002_01_01_37_0,1,27.0,3,2300,2468,1269,482,342,494,2,
2002_01_01_38_0,1,28.0,3,3294,2841,1777,959,2623,2598,2703,
2002_01_01_39_0,1,29.0,3,4624,3850,2825,1780,3313,3312,4210,
2002_01_01_40_0,1,30.0,4,4946,4563,2531,876,187,635,362,
2002_01_01_41_0,1,31.0,4,4788,4300,2445,965,187,563,246,
2002_01_01_42_0,1,32.0,4,5187,3995,3023,1895,2680,2734,4233,
2002_01_01_43_0,1,33.0,4,4238,4007,2175,728,179,644,367,
2002_01_01_44_0,1,34.0,4,4977,4770,2760,1005,253,728,389,
2002_01_01_45_0,1,35.0,4,4759,4715,2691,990,244,690,402,
2002_01_01_46_0,1,36.0,4,4207,3879,2023,618,184,542,275,
2002_01_01_47_0,1,37.0,4,3237,3078,1471,430,127,369,188,
2002_01_01_48_0,1,38.0,4,3638,3513,2072,769,268,761,457,
2002_01_01_49_0,1,39.0,4,2454,2485,1079,320,111,305,153,
2002_01_01_50_0,1,40.0,5,4979,4882,3816,2367,3800,3951,3859,
2002_01_01_51_0,1,41.0,5,2954,3008,1770,674,195,561,993,
2002_01_01_52_0,1,42.0,5,3019,2862,1547,562,184,482,337,
2002_01_01_53_0,1,43.0,5,5538,3623,2325,1166,1596,1706,4090,
